[12:07:58] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:08:00] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:08:00] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:08:00] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:08:00] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:08:00] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:08:00] [main/INFO]: Reloading ResourceManager: Default
[12:08:02] [Worker-Main-2/INFO]: Loaded 7 recipes
[12:08:03] [Worker-Main-2/INFO]: Loaded 927 advancements
[12:08:06] [Server thread/INFO]: Starting minecraft server version 1.16.5
[12:08:06] [Server thread/INFO]: Loading properties
[12:08:06] [Server thread/INFO]: Default game type: SURVIVAL
[12:08:06] [Server thread/INFO]: Generating keypair
[12:08:06] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:08:06] [Server thread/INFO]: Using epoll channel type
[12:08:07] [Server thread/INFO]: Preparing level "world"
[12:08:16] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[12:08:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:08:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:08:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:08:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:08:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:08:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:08:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:08:20] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:08:20] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:08:21] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[12:08:21] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[12:08:22] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[12:08:22] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[12:08:23] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[12:08:23] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[12:08:24] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[12:08:24] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[12:08:25] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[12:08:25] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[12:08:26] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[12:08:26] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[12:08:27] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[12:08:27] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[12:08:28] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[12:08:29] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[12:08:29] [Worker-Main-2/INFO]: Preparing spawn area: 18%
